, ,제 49 기 3분기,Unnamed: 2,제 48 기 3분기,Unnamed: 4
0,,3개월,누적,3개월,누적
1,당기순이익(손실),11193411,29931616,4537855,15638051
2,기타포괄손익,1868097,-95516,-4340477,-4383548
3,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,-21063,-79222,-1528,-49940
4,        순확정급여부채 재측정요소,-20587,-77438,-38987,-86032
5,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-476,-1784,37459,36092
6,    후속적으로 당기손익으로 재분류되는 포괄손익,1889160,-16294,-4338949,-4333608
7,        매도가능금융자산평가손익,279139,784445,-456032,-426117
8,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,9364,23594,-37909,-172758
9,        해외사업장환산외환차이,1604341,-775954,-3845008,-3734733
10,        파생상품평가손익,-3684,-48379, , 
11,총포괄손익,13061508,29836100,197378,11254503
12,포괄손익의 귀속, , , , 
13,    지배기업 소유주지분,12918043,29184789,132268,11158654
14,    비지배지분,143465,651311,65110,95849
