,제 44 기          2012.01.01 부터 2012.12.31 까지,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,(단위 : 백만원),,,,,,
1, ,제 46 기 반기,,제 45 기 반기,,제 45 기,제 44 기
2,,3개월,누적,3개월,누적,,
3,당기순이익(손실),6250781,13825222,7773811,14928752,30474764,23845285
4,기타포괄손익,-2321768,-2279397,1570334,2796212,-1006838,-1717080
5,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,-15581,-20607,-8393,-16991,-213113,-504120
6,        순확정급여부채 재측정요소,-15581,-20607,-8393,-16991,-213113,-504120
7,    후속적으로 당기손익으로 재분류되는 포괄손익,-2306187,-2258790,1578727,2813203,-793725,-1212960
8,        매도가능금융자산평가손익,-220086,-269944,574138,838906,186480,962184
9,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-57892,-83917,-13984,1389,20756,-350491
10,        해외사업장환산외환차이,-2028209,-1904929,1018573,1972908,-1000961,-1824653
11,총포괄손익,3929013,11545825,9344145,17724964,29467926,22128205
12,포괄손익의 귀속, , , , , , 
13,    지배기업 소유주지분,3914659,11423127,9103315,17269552,28837590,21499343
14,    비지배지분,14354,122698,240830,455412,630336,628862
