, ,제 51 기 반기,Unnamed: 2,제 50 기 반기,Unnamed: 4
0,,3개월,누적,3개월,누적
1,당기순이익(손실),5180576,10224161,11043412,22731956
2,기타포괄손익,1756284,4581644,1226240,2149092
3,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,164953,733680,25783,-151611
4,        기타포괄손익-공정가치금융자산평가손익,181816,789897,76999,-97885
5,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,363,-1757,-32047,1324
6,        순확정급여부채 재측정요소,-17226,-54460,-19169,-55050
7,    후속적으로 당기손익으로 재분류되는 포괄손익,1591331,3847964,1200457,2300703
8,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,27704,65419,16239,38525
9,        해외사업장환산외환차이,1567642,3777018,1137662,2224931
10,        현금흐름위험회피파생상품평가손익,-4015,5527,46556,37247
11,총포괄손익,6936860,14805805,12269652,24881048
12,포괄손익의 귀속, , , , 
13,    지배기업 소유주지분,6795351,14632924,12188562,24705412
14,    비지배지분,141509,172881,81090,175636
