, ,제 51 기 1분기말,제 50 기말
0,자산, , 
1,    유동자산,177388524,174697424
2,        현금및현금성자산,26676045,30340505
3,        단기금융상품,65065632,65893797
4,        단기상각후원가금융자산,3217503,2703693
5,        단기당기손익-공정가치금융자산,1776159,2001948
6,        매출채권,36709252,33867733
7,        미수금,3503579,3080733
8,        선급금,1531603,1361807
9,        선급비용,4465260,4136167
10,        재고자산,31455994,28984704
11,        기타유동자산,2987497,2326337
12,    비유동자산,167679359,164659820
13,        상각후원가금융자산,550910,238309
14,        기타포괄손익-공정가치금융자산,8151028,7301351
15,        당기손익-공정가치금융자산,773592,775427
16,        관계기업 및 공동기업 투자,7315948,7313206
17,        유형자산,116392356,115416724
18,        무형자산,14868032,14891598
19,        장기선급비용,4541220,5009679
20,        순확정급여자산,372940,562356
21,        이연법인세자산,5448794,5468002
22,        기타비유동자산,9264539,7683168
23,    자산총계,345067883,339357244
24,부채, , 
25,    유동부채,67354091,69081510
26,        매입채무,9802812,8479916
27,        단기차입금,9663128,13586660
28,        미지급금,13110221,10711536
29,        선수금,805952,820265
30,        예수금,790433,951254
31,        미지급비용,16187104,20339687
32,        미지급법인세,9754808,8720050
33,        유동성장기부채,706652,33386
34,        충당부채,5012388,4384038
35,        기타유동부채,1520593,1054718
36,    비유동부채,24498641,22522557
37,        사채,969145,961972
38,        장기차입금,1865579,85085
39,        장기미지급금,2639769,3194043
40,        순확정급여부채,581084,504064
41,        이연법인세부채,15404584,15162523
42,        장기충당부채,912848,663619
43,        기타비유동부채,2125632,1951251
44,    부채총계,91852732,91604067
45,자본, , 
46,    지배기업 소유주지분,245499809,240068993
47,        자본금,897514,897514
48,            우선주자본금,119467,119467
49,            보통주자본금,778047,778047
50,        주식발행초과금,4403893,4403893
51,        이익잉여금,245401018,242698956
52,        기타자본항목,-5202616,-7931370
53,    비지배지분,7715342,7684184
54,    자본총계,253215151,247753177
55,자본과부채총계,345067883,339357244
