, ,제 51 기 1분기,Unnamed: 2,제 50 기 1분기,Unnamed: 4
0,,3개월,누적,3개월,누적
1,당기순이익(손실),5043585,5043585,11688544,11688544
2,기타포괄손익,2825360,2825360,922852,922852
3,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,568727,568727,-177394,-177394
4,        기타포괄손익-공정가치금융자산평가손익,608081,608081,-174884,-174884
5,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-2120,-2120,33371,33371
6,        순확정급여부채 재측정요소,-37234,-37234,-35881,-35881
7,    후속적으로 당기손익으로 재분류되는 포괄손익,2256633,2256633,1100246,1100246
8,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,37715,37715,22286,22286
9,        해외사업장환산외환차이,2209376,2209376,1087269,1087269
10,        현금흐름위험회피파생상품평가손익,9542,9542,-9309,-9309
11,총포괄손익,7868945,7868945,12611396,12611396
12,포괄손익의 귀속, , , , 
13,    지배기업 소유주지분,7837573,7837573,12516850,12516850
14,    비지배지분,31372,31372,94546,94546
