, ,제 49 기 반기,Unnamed: 2,제 48 기 반기,Unnamed: 4
0,,3개월,누적,3개월,누적
1,수익(매출액),61000537,111548063,50937120,100719372
2,매출원가,32399829,60555426,29609118,59982976
3,매출총이익,28600708,50992637,21328002,40736396
4,판매비와관리비,14534161,27027729,13184052,25916634
5,영업이익(손실),14066547,23964908,8143950,14819762
6,기타수익,344215,660638,275724,978317
7,기타비용,223405,500639,515453,854089
8,지분법이익,22353,41691,4276,13423
9,금융수익,1727174,3824326,1986063,5065992
10,금융비용,1524619,3414083,1822601,4828961
11,법인세비용차감전순이익(손실),14412265,24576841,8071959,15194444
12,법인세비용,3358414,5838636,2224566,4094248
13,계속영업이익(손실),11053851,18738205,5847393,11100196
14,당기순이익(손실),11053851,18738205,5847393,11100196
15,당기순이익(손실)의 귀속, , , , 
16,    지배기업의 소유주에게 귀속되는 당기순이익(손실),10799942,18288474,5826178,11089684
17,    비지배지분에 귀속되는 당기순이익(손실),253909,449731,21215,10512
18,주당이익, , , , 
19,    기본주당이익(손실) (단위:원),78018,131615,40904,77266
20,    희석주당이익(손실) (단위:원),78018,131615,40904,77266
