, ,제 50 기 1분기,Unnamed: 2,제 49 기 1분기,Unnamed: 4
0,,3개월,누적,3개월,누적
1,수익(매출액),60563714,60563714,50547526,50547526
2,매출원가,31909472,31909472,28155597,28155597
3,매출총이익,28654242,28654242,22391929,22391929
4,판매비와관리비,13012072,13012072,12493568,12493568
5,영업이익(손실),15642170,15642170,9898361,9898361
6,기타수익,370976,370976,316423,316423
7,기타비용,245263,245263,277234,277234
8,지분법이익,64364,64364,19338,19338
9,금융수익,2283200,2283200,2097152,2097152
10,금융비용,1939540,1939540,1889464,1889464
11,법인세비용차감전순이익(손실),16175907,16175907,10164576,10164576
12,법인세비용,4487363,4487363,2480222,2480222
13,계속영업이익(손실),11688544,11688544,7684354,7684354
14,당기순이익(손실),11688544,11688544,7684354,7684354
15,당기순이익(손실)의 귀속, , , , 
16,    지배기업의 소유주에게 귀속되는 당기순이익(손실),11611833,11611833,7488532,7488532
17,    비지배지분에 귀속되는 당기순이익(손실),76711,76711,195822,195822
18,주당이익, , , , 
19,    기본주당이익(손실) (단위:원) (단위 : 원),85435,85435,53656,53656
20,    희석주당이익(손실) (단위:원) (단위 : 원),85435,85435,53656,53656
